Source,Target,signal
"Cell stress (UV-light, heat),
proinflammatory cytokines
growth factors",MAP3K1,a
Cortisol,Med14,a
Cortisol,GCR,a
Cortisol,VDR,a
GCR,MKP1,a
GCR,GCR,a
GCR,Med14,a
IkKA,NFkB,a
IkKA,RELA,a
IkKA,IkBA,a
IkKA,IkKB,a
IkKA,IkKG,a
IkKB,NFkB,a
IkKB,RELA,a
IkKB,IkBA,a
IkKB,IkKA,a
IkKB,IkKG,a
IkKG,NFkB,a
IkKG,RELA,a
IkKG,IkBA,a
IkKG,IkKA,a
IkKG,IkKB,a
IL6,TNF,a
MAP2K3,MAP2K6,a
MAP2K3,p38,a
MAP2K6,MAP2K3,a
MAP2K6,p38,a
MAP3K1,MAP2K6,a
MAP3K1,MAP2K3,a
Med14,MKP1,a
Med14,VDR,a
MKP1,p38,i
NFAT,PPP3CA,a
NFAT,PPP3R1,a
NFkB,RELA,a
NFkB,IL6,a
NFkB,TNF,a
NFkB,IkBA,a
NFkB,NFkB,a
NFkB,RELA,a
p38,"IL6 and TNF expression
inflammation, apoptosis, 
cell growth, 
cell differentiation",a
PPP3CA,PPP3R1,a
PPP3CA,NFAT,a
PPP3R1,PPP3CA,a
PPP3R1,NFAT,a
"Proinflammatory cytokines,
oxidative stress,
UV light,
Bacterial products e.g. LPS",IkKA,a
"Proinflammatory cytokines,
oxidative stress,
UV light,
Bacterial products e.g. LPS",IkKB,a
"Proinflammatory cytokines,
oxidative stress,
UV light,
Bacterial products e.g. LPS",IkKG,a
RELA,NKkB,a
RELA,IL6,a
RELA,TNF,a
RELA,IkBA,a
RELA,NFkB,a
RELA,RELA,a
RXR,SMAD3,a
RXR,SMAD4,a
RXR,VDR,a
RXR,NFAT,i
RXR,VDR,a
RXR,NFkB,a
RXR,RELA,a
RXR,IkBA,a
RXR,NFkB,i
RXR,RELA,i
RXR,IkBA,a
RXR,NFkB,i
RXR,RELA,i
SMAD3,SMAD3,a
SMAD3,SMAD4,a
SMAD3,RXR,a
SMAD3,VDR,a
SMAD4,SMAD3,a
SMAD4,RXR,a
SMAD4,VDR,a
"T-cell receptor
activation",PPP3CA,a
"T-cell receptor
activation",PPP3R1,a
"TGFB receptor
activation",SMAD3,a
TNF,IL6,a
VDR,MKP1,a
VDR,RXR,a
VDR,SMAD3,a
VDR,SMAD4,a
VDR,NFAT,i
VDR,RXR,a
VDR,NFkB,a
VDR,RELA,a
VDR,IkBA,a
VDR,NFkB,i
VDR,RELA,i
Vitamin D,Med14,a
Vitamin D,GCR,a
Vitamin D,VDR,a
TNF,IL6,a
VDR,GCR,a
VDR,IkBA,a
VDR,Med14,a
VDR,NFkB,i
VDR,RELA,i
